experiment_id,experiment,start_year,end_year,activity_id,tier,min_number_yrs_per_sim
1pctCO2-rad,radiatively-coupled version of 1 percent per year increasing CO2 experiment,,,C4MIP,2,150
1pctCO2Ndep,1 percent per year increasing CO2 experiment with increasing N-deposition,,,C4MIP,2,150
1pctCO2Ndep-bgc,biogeochemically-coupled version of 1 percent per year increasing CO2 experiment with increasing N-deposition,,,C4MIP,2,150
G6SST1,"SSTs, forcings, and other prescribed conditions from year 2020 of SSP5-8.5",,,GeoMIP,2,10
G6SST2-solar,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G6solar,,,GeoMIP,2,10
G6SST2-sulfur,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G6sulfur,,,GeoMIP,2,10
G7SST1-cirrus,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2020 of SSP5-8.5 and cirrus thinning,,,GeoMIP,2,10
G7SST2-cirrus,SSTs from year 2100 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G7cirrus,,,GeoMIP,2,10
G7cirrus,increase cirrus ice crystal fall speed to reduce net forcing in SSP585 by 1 W m-2,2020,2100,GeoMIP,2,81
a4SST,as piSST but with SSTs from abrupt-4xCO2,,,CFMIP,2,30
a4SSTice,as piSST but with SSTs and sea ice from abrupt-4xCO2,,,CFMIP,2,30
a4SSTice-4xCO2,"as piSST but with SSTs and sea ice from abrupt-4xCO2, and 4xCO2 seen by radiation and vegetation",,,CFMIP,2,30
abrupt-0p5xCO2,abrupt halving of CO2,,,CFMIP,2,150
abrupt-2xCO2,abrupt doubling of CO2,,,CFMIP,2,150
abrupt-solm4p,abrupt 4% decrease in solar constant,,,CFMIP,2,150
abrupt-solp4p,abrupt 4% increase in solar constant,,,CFMIP,2,150
amip-a4SST-4xCO2,as AMIP but with warming pattern from abrupt-4xCO2 added to SSTs and 4xCO2 seen by radiation and vegetation,1979,2014,CFMIP,2,36
amip-lfmip-pObs,prescribed land (from pseudo-observations) and AMIP SSTs,1979,2014,LS3MIP,2,36
amip-lfmip-pdLC,"prescribed modern land surface climatology from historical, prescribed SST and sea-ice from historical plus scenario runs",1979,2014,LS3MIP,2,36
amip-lfmip-rmLC,"prescribed land surface climatology from historical plus scenario 30yr running mean, prescribed SST and sea-ice from historical plus scenario runs",1979,2014,LS3MIP,2,36
amip-lwoff,AMIP experiment with longwave cloud-radiative effects off,1979,2014,CFMIP,2,36
amip-m4K,AMIP with uniform 4K SST decrease,1979,2014,CFMIP,2,36
amip-p4K-lwoff,AMIP experiment with uniform 4K SST increase and with longwave cloud radiative effects off,1979,2014,CFMIP,2,36
amip-piForcing,AMIP SSTs with pre-industrial anthropogenic and natural forcing,1870,2014,CFMIP,2,145
aqua-control-lwoff,aquaplanet control with longwave cloud radiative effects off,,,CFMIP,2,10
aqua-p4K-lwoff,aquaplanet with uniform 4K SST increase and with longwave cloud radiative effects off,,,CFMIP,2,10
control-1950,coupled control with fixed 1950's forcing (HighResMIP equivalent of pre-industrial control),,,HighResMIP,2,100
dcppA-assim,"Assimilation run paralleling the historical simulation, which may be used to generate hindcast initial conditions",before 1961,2016,DCPP,2,56
dcppC-amv-ExTrop-neg,Idealized climate impact of negative extratropical AMV anomaly pattern,,,DCPP,2,10
dcppC-amv-ExTrop-pos,Idealized climate impact of positive extratropical AMV anomaly pattern,,,DCPP,2,10
dcppC-amv-Trop-neg,Idealized climate impact of negative tropical AMV anomaly pattern,,,DCPP,2,10
dcppC-amv-Trop-pos,idealized positive tropical AMV anomaly pattern,,,DCPP,2,10
dcppC-hindcast-noAgung,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,1962,5 - 10 years after start year,DCPP,2,5
dcppC-hindcast-noElChichon,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,1981,5 - 10 years after start year,DCPP,2,5
dcppC-ipv-NexTrop-neg,idealized negative northern extratropical IPV anomaly pattern,,,DCPP,2,10
dcppC-ipv-NexTrop-pos,idealized positive northern extratropical IPV anomaly pattern,,,DCPP,2,10
esm-1pct-brch-1000PgC,zero emissions simulation branched from 1% run after 1000 PgC cumulative emission,,,C4MIP,2,100
esm-hist-ext,post-2014 all-forcing simulation with atmospheric CO2 concentration calculated,2015,present,CMIP,2,1
esm-piControl-spinup,pre-industrial control simulation with CO2 concentration calculated (spin-up),,,CMIP,2,100
esm-ssp534-over,emission-driven SSP5-3.4-OS scenario,2040,2100 or 2300,CDRMIP,2,61
esm-ssp585-ocn-alk,emission-driven SSP5-8.5 scenario but with ocean alkalinization from year 2020 onward,2020,2100 or 2300,CDRMIP,2,81
esm-ssp585-ssp126Lu-ext,extension of the LUMIP emissions-driven simulation following SSP5-8.5 with SSP1-2.6 land use,2101,2300,CDRMIP,2,200
esm-ssp585ext,emission-driven long-term extension of the SSP5-8.5 scenario,2101,2300,CDRMIP,2,200
faf-all,"control plus perturbative surface fluxes of momentum, heat and water into ocean",,,FAFMIP,2,70
faf-passiveheat,control plus surface flux of passive heat tracer into ocean,,,FAFMIP,2,70
futSST-pdSIC,Atmosphere time slice with future SST and present day SIC,2000,2001,PAMIP,2,1
futureSST-4xCO2-solar,year 100 SSTs from abrupt-4xCO2 with quadrupled CO2 and solar reduction,,,GeoMIP,2,10
highres-future,coupled future 2015-2050 using a scenario as close to CMIP5 RCP8.5 as possible within CMIP6,2015,2050,HighResMIP,2,36
hist-1950,coupled historical 1950-2014,1950,2014,HighResMIP,2,65
hist-bgc,biogeochemically-coupled version of the simulation of the recent past with CO2 concentration prescribed,1850,2014,C4MIP,2,165
hist-piAer,"historical forcing, but with pre-industrial aerosol emissions",1850,2014,AerChemMIP,2,165
hist-resAMO,"initialized from ""historical"" run year 1870 and SSTs in the AMO domain (0deg-70degN, 70degW-0deg) restored to AMIP SSTs with historical forcings",1870,2014,GMMIP,2,145
hist-resIPO,"initialized from ""historical"" run year 1870 and SSTs in tropical lobe of the IPO domain (20degS-20degN, 175degE-75degW) restored to AMIP SSTs with historical forcings",1870,2014,GMMIP,2,145
hist-spAer-aer,"historical simulation with specified anthropogenic aerosols, no other forcings",1850,2014,RFMIP,2,165
hist-stratO3,historical stratospheric-ozone-only run,1850,2020,DAMIP,2,171
histSST-piAer,"historical SSTs and historical forcing, but with pre-industrial aerosol emissions",1850,2014,AerChemMIP,2,165
